{'device_time_stamp': 184518991062, 'system_time_stamp': 184811028161, 'left_gaze_point_on_display_area': (0.06992484629154205, 0.220445454120636), 'left_gaze_point_in_user_coordinate_system': (-222.92068481445312, 250.1190185546875, 80.39411163330078), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.8046722412109375, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-40.34259796142578, -9.556695938110352, 612.0042724609375), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5885600447654724, 0.5234588980674744, 0.3701053857803345), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.045180901885032654, 0.1736157089471817), 'right_gaze_point_in_user_coordinate_system': (-235.99960327148438, 264.6565856933594, 85.6853256225586), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.826629638671875, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (20.596778869628906, -6.1337385177612305, 611.8525390625), 'right_gaze_origin_in_trackbox_coordinate_system': (0.45409494638442993, 0.5160036087036133, 0.3676978051662445), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 184519174400, 'system_time_stamp': 184811211364, 'left_gaze_point_on_display_area': (0.08194822072982788, 0.2291540652513504), 'left_gaze_point_in_user_coordinate_system': (-216.56546020507812, 247.4155731201172, 79.4101333618164), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.821685791015625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-39.15721130371094, -9.484170913696289, 612.1729736328125), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5859230756759644, 0.5233015418052673, 0.3703064024448395), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.055422343313694, 0.15691259503364563), 'right_gaze_point_in_user_coordinate_system': (-230.58627319335938, 269.841796875, 87.57260131835938), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.839263916015625, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (21.798648834228516, -5.20602560043335, 611.1004638671875), 'right_gaze_origin_in_trackbox_coordinate_system': (0.45137113332748413, 0.5139399766921997, 0.366169273853302), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 184519191066, 'system_time_stamp': 184811228037, 'left_gaze_point_on_display_area': (0.0821554884314537, 0.2354428768157959), 'left_gaze_point_in_user_coordinate_system': (-216.45590209960938, 245.46331787109375, 78.69960021972656), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.8237457275390625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-38.978118896484375, -9.411823272705078, 612.2374267578125), 'left_gaze_origin_in_trackbox_coordinate_system': (0.585518479347229, 0.5231423377990723, 0.37042197585105896), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.0569484606385231, 0.16100752353668213), 'right_gaze_point_in_user_coordinate_system': (-229.7796173095703, 268.5705871582031, 87.1099624633789), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.8316802978515625, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (21.967254638671875, -5.0138654708862305, 611.0696411132812), 'right_gaze_origin_in_trackbox_coordinate_system': (0.4509950578212738, 0.5135142207145691, 0.36611899733543396), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 184519207733, 'system_time_stamp': 184811244728, 'left_gaze_point_on_display_area': (0.08125010132789612, 0.2279648780822754), 'left_gaze_point_in_user_coordinate_system': (-216.9344482421875, 247.78472900390625, 79.54452514648438), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.818695068359375, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-38.78520965576172, -9.300150871276855, 612.28125), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5850867629051208, 0.5228962898254395, 0.37049123644828796), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.058098625391721725, 0.16027815639972687), 'right_gaze_point_in_user_coordinate_system': (-229.17169189453125, 268.7970275878906, 87.19232940673828), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.82623291015625, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (22.14078140258789, -4.804178237915039, 611.0078125), 'right_gaze_origin_in_trackbox_coordinate_system': (0.450605183839798, 0.5130488872528076, 0.36600223183631897), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 184519224400, 'system_time_stamp': 184811261421, 'left_gaze_point_on_display_area': (0.09705767035484314, 0.23770549893379211), 'left_gaze_point_in_user_coordinate_system': (-208.5790252685547, 244.7609100341797, 78.44387817382812), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.809539794921875, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-38.483154296875, -9.214414596557617, 612.1517333984375), 'left_gaze_origin_in_trackbox_coordinate_system': (0.584442138671875, 0.5227067470550537, 0.37016987800598145), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.07247491925954819, 0.16040772199630737), 'right_gaze_point_in_user_coordinate_system': (-221.57276916503906, 268.75677490234375, 87.17770385742188), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.8114776611328125, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (22.42377281188965, -4.6139044761657715, 611.0213623046875), 'right_gaze_origin_in_trackbox_coordinate_system': (0.44998008012771606, 0.5126283764839172, 0.36605769395828247), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 184519241066, 'system_time_stamp': 184811278101, 'left_gaze_point_on_display_area': (0.1459236592054367, 0.24507570266723633), 'left_gaze_point_in_user_coordinate_system': (-182.7498779296875, 242.47299194335938, 77.61112213134766), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.8174285888671875, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-38.092002868652344, -9.113622665405273, 612.0531616210938), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5835961699485779, 0.522484302520752, 0.36990395188331604), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.12393229454755783, 0.1747380793094635), 'right_gaze_point_in_user_coordinate_system': (-194.37388610839844, 264.30816650390625, 85.55854034423828), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.807586669921875, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (22.8099308013916, -4.420805931091309, 611.152099609375), 'right_gaze_origin_in_trackbox_coordinate_system': (0.4491378962993622, 0.5122042894363403, 0.36637651920318604), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 184519257733, 'system_time_stamp': 184811294767, 'left_gaze_point_on_display_area': (0.15514877438545227, 0.24885813891887665), 'left_gaze_point_in_user_coordinate_system': (-177.87374877929688, 241.2987518310547, 77.18379211425781), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.783355712890625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-37.90580749511719, -9.04168701171875, 612.2518310546875), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5831553936004639, 0.5223267674446106, 0.370310515165329), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.12833136320114136, 0.18151581287384033), 'right_gaze_point_in_user_coordinate_system': (-192.04864501953125, 262.2041015625, 84.79270935058594), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.794586181640625, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (22.999521255493164, -4.253270149230957, 611.2015991210938), 'right_gaze_origin_in_trackbox_coordinate_system': (0.4487229585647583, 0.5118348002433777, 0.366502970457077), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 184519274400, 'system_time_stamp': 184811311432, 'left_gaze_point_on_display_area': (0.15212340652942657, 0.24822543561458588), 'left_gaze_point_in_user_coordinate_system': (-179.4728546142578, 241.4951629638672, 77.25528717041016), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.7909088134765625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-37.69728088378906, -8.97142219543457, 612.20361328125), 'left_gaze_origin_in_trackbox_coordinate_system': (0.582703709602356, 0.522171676158905, 0.37017861008644104), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.12526293098926544, 0.18437980115413666), 'right_gaze_point_in_user_coordinate_system': (-193.67051696777344, 261.3150329589844, 84.4690933227539), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.790008544921875, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (23.194835662841797, -4.072397232055664, 611.2100219726562), 'right_gaze_origin_in_trackbox_coordinate_system': (0.448291540145874, 0.5114349126815796, 0.36654117703437805), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 184519291066, 'system_time_stamp': 184811328100, 'left_gaze_point_on_display_area': (0.15110817551612854, 0.25367090106010437), 'left_gaze_point_in_user_coordinate_system': (-180.00949096679688, 239.8047332763672, 76.6399917602539), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.78125, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-37.48957824707031, -8.91055679321289, 612.1873168945312), 'left_gaze_origin_in_trackbox_coordinate_system': (0.582248866558075, 0.5220375061035156, 0.370116263628006), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.12926217913627625, 0.1755097359418869), 'right_gaze_point_in_user_coordinate_system': (-191.556640625, 264.068603515625, 85.47134399414062), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.78302001953125, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (23.384002685546875, -3.933248519897461, 611.1253662109375), 'right_gaze_origin_in_trackbox_coordinate_system': (0.447864830493927, 0.5111252069473267, 0.36637601256370544), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 184519307733, 'system_time_stamp': 184811344774, 'left_gaze_point_on_display_area': (0.15340876579284668, 0.2436019778251648), 'left_gaze_point_in_user_coordinate_system': (-178.79347229003906, 242.9304656982422, 77.77762603759766), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.7891845703125, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-37.28495407104492, -8.90373420715332, 612.3047485351562), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5817804932594299, 0.5220234990119934, 0.370344340801239), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.12636227905750275, 0.17616109549999237), 'right_gaze_point_in_user_coordinate_system': (-193.08946228027344, 263.8664245605469, 85.39771270751953), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.772552490234375, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (23.592967987060547, -3.8251559734344482, 611.4022827148438), 'right_gaze_origin_in_trackbox_coordinate_system': (0.44742944836616516, 0.5108928680419922, 0.3669973611831665), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 184519324400, 'system_time_stamp': 184811361449, 'left_gaze_point_on_display_area': (0.15275973081588745, 0.2512630820274353), 'left_gaze_point_in_user_coordinate_system': (-179.1365203857422, 240.55218505859375, 76.91207885742188), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.8074798583984375, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-37.073978424072266, -8.911924362182617, 612.2255859375), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5813280940055847, 0.5220415592193604, 0.3701450526714325), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.12671592831611633, 0.17568761110305786), 'right_gaze_point_in_user_coordinate_system': (-192.90252685546875, 264.0133972167969, 85.45121765136719), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.774871826171875, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (23.788665771484375, -3.7687273025512695, 611.2852783203125), 'right_gaze_origin_in_trackbox_coordinate_system': (0.44698530435562134, 0.510765552520752, 0.366760790348053), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 184519341066, 'system_time_stamp': 184811378120, 'left_gaze_point_on_display_area': (0.1574556976556778, 0.25165802240371704), 'left_gaze_point_in_user_coordinate_system': (-176.6543731689453, 240.42958068847656, 76.86746978759766), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.761627197265625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-36.86805725097656, -8.917194366455078, 612.301513671875), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5808632969856262, 0.5220539569854736, 0.3702830374240875), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.12160463631153107, 0.18068936467170715), 'right_gaze_point_in_user_coordinate_system': (-195.6042022705078, 262.4606628417969, 84.88611602783203), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.7649078369140625, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (23.995201110839844, -3.700596809387207, 611.2293701171875), 'right_gaze_origin_in_trackbox_coordinate_system': (0.4465230703353882, 0.510613739490509, 0.36665835976600647), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 184519357733, 'system_time_stamp': 184811394786, 'left_gaze_point_on_display_area': (0.15827637910842896, 0.2520028054714203), 'left_gaze_point_in_user_coordinate_system': (-176.22059631347656, 240.32254028320312, 76.82848358154297), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.7810211181640625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-36.64875030517578, -8.954048156738281, 612.2327270507812), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5803908705711365, 0.5221354365348816, 0.3701053857803345), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.12447883933782578, 0.1851448267698288), 'right_gaze_point_in_user_coordinate_system': (-194.08499145507812, 261.0775146484375, 84.38269805908203), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.7601318359375, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (24.207069396972656, -3.668630599975586, 611.3704833984375), 'right_gaze_origin_in_trackbox_coordinate_system': (0.446068674325943, 0.5105468034744263, 0.366983562707901), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 184519374399, 'system_time_stamp': 184811411452, 'left_gaze_point_on_display_area': (0.1571839153766632, 0.2546745240688324), 'left_gaze_point_in_user_coordinate_system': (-176.7980194091797, 239.49314880371094, 76.52661895751953), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.7743682861328125, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-36.43798065185547, -9.022256851196289, 612.5177612304688), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5798846483230591, 0.5222880840301514, 0.370696485042572), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.1251547932624817, 0.1835862696170807), 'right_gaze_point_in_user_coordinate_system': (-193.72769165039062, 261.5614013671875, 84.55874633789062), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.7612457275390625, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (24.416339874267578, -3.6775732040405273, 611.417724609375), 'right_gaze_origin_in_trackbox_coordinate_system': (0.4456109404563904, 0.5105681419372559, 0.36710378527641296), 'right_gaze_origin_validity': 1}
